#<start_value>            <fixed>                   <lower_limit>             <upper_limit>             <name>
5.17299689722             1                         4.8                       5.2                       mdensity_SrTiO3          
6.5400273205              1                         6.4                       6.6                       mdensity_SrRuO3          
6.48734155219             1                         6.2                       6.8                       mdensity_LSMO            
4.92233020147             1                         4.8                       5.2                       mdensity_SrTiO3_cap      
0.887158623322            1                         0                         3                         mdensity_C               
6.27374946051             1                         0                         10                        substrate_roughness      
55.0704959239             1                         54                        55.5                      SrRuO3_thickness         
0.00439591855994          1                         0                         2                         SrRuO3_roughness         
33.1769728713             1                         32.5                      33.5                      LSMO_thickness           
0.48544440346             1                         0                         2.5                       LSMO_roughness           
7.60009675287             1                         7.6                       8.3                       cap_thickness            
0.999987124002            1                         0                         1                         cap_roughness            
4.57082276167             1                         0                         10                        contamination_thickness  
0.00627520906827          1                         0                         3                         contamination_roughness  
0.216378                  1                         -1                        1                         exp_Eshift               
0                         1                         -1                        1                         exp_thetashift           
4.4801526751972634e-05    0                         0                         100000                    background               
32.36232652904044         0                         0.0001                    100000                    multiplier               
1.9071491980795676        0                         0                         254.7881765898702         Mn_ff_coeff_0            
2.122834656672095         0                         0                         254.7881765898702         Mn_ff_coeff_1            
2.11615894227117          0                         0                         254.7881765898702         Mn_ff_coeff_2            
2.1094304287645915        0                         0                         254.7881765898702         Mn_ff_coeff_3            
2.1026192582157766        0                         0                         254.7881765898702         Mn_ff_coeff_4            
2.0956615975529473        0                         0                         254.7881765898702         Mn_ff_coeff_5            
2.088456397841094         0                         0                         254.7881765898702         Mn_ff_coeff_6            
2.0808387789112697        0                         0                         254.7881765898702         Mn_ff_coeff_7            
2.072532326086059         0                         0                         254.7881765898702         Mn_ff_coeff_8            
2.063050552208817         0                         0                         254.7881765898702         Mn_ff_coeff_9            
2.051482236074491         0                         0                         254.7881765898702         Mn_ff_coeff_10           
2.035958603989964         0                         0                         254.7881765898702         Mn_ff_coeff_11           
2.012078087390235         0                         0                         254.7881765898702         Mn_ff_coeff_12           
1.966339756900397         0                         0                         254.7881765898702         Mn_ff_coeff_13           
1.6982973272455315        0                         0                         254.7881765898702         Mn_ff_coeff_14           
1.3257736221258773        0                         0                         254.7881765898702         Mn_ff_coeff_15           
2.482918746324262         0                         0                         254.7881765898702         Mn_ff_coeff_16           
2.0558971120275005        0                         0                         254.7881765898702         Mn_ff_coeff_17           
3.6090312493457897        0                         0                         254.7881765898702         Mn_ff_coeff_18           
3.7978469026459694        0                         0                         254.7881765898702         Mn_ff_coeff_19           
43.468292696178835        0                         0                         254.7881765898702         Mn_ff_coeff_20           
114.42363143845715        0                         0                         254.7881765898702         Mn_ff_coeff_21           
75.81110587377496         0                         0                         254.7881765898702         Mn_ff_coeff_22           
26.71336749044718         0                         0                         254.7881765898702         Mn_ff_coeff_23           
18.91715839827478         0                         0                         254.7881765898702         Mn_ff_coeff_24           
30.443612446344293        0                         0                         254.7881765898702         Mn_ff_coeff_25           
61.537585624851076        0                         0                         254.7881765898702         Mn_ff_coeff_26           
63.78242751300169         0                         0                         254.7881765898702         Mn_ff_coeff_27           
26.204503646879694        0                         0                         254.7881765898702         Mn_ff_coeff_28           
20.32242847786013         0                         0                         254.7881765898702         Mn_ff_coeff_29           
22.355004917601466        0                         0                         254.7881765898702         Mn_ff_coeff_30           
32.79600391285376         0                         0                         254.7881765898702         Mn_ff_coeff_31           
23.139716402920154        0                         0                         254.7881765898702         Mn_ff_coeff_32           
17.60095765453535         0                         0                         254.7881765898702         Mn_ff_coeff_33           
14.100055682192457        0                         0                         254.7881765898702         Mn_ff_coeff_34           
11.492589133610183        0                         0                         254.7881765898702         Mn_ff_coeff_35           
9.445204326116729         0                         0                         254.7881765898702         Mn_ff_coeff_36           
7.784077771426679         0                         0                         254.7881765898702         Mn_ff_coeff_37           
6.403686051862466         0                         0                         254.7881765898702         Mn_ff_coeff_38           
5.234628677913006         0                         0                         254.7881765898702         Mn_ff_coeff_39           
4.229045522308124         0                         0                         254.7881765898702         Mn_ff_coeff_40           
3.3527353671695472        0                         0                         254.7881765898702         Mn_ff_coeff_41           
2.5805131527672165        0                         0                         254.7881765898702         Mn_ff_coeff_42           
1.8933990854605984        0                         0                         254.7881765898702         Mn_ff_coeff_43           
1.27679169178148          0                         0                         254.7881765898702         Mn_ff_coeff_44           
0.7192731702563453        0                         0                         254.7881765898702         Mn_ff_coeff_45           
0.21179139349218273       0                         0                         254.7881765898702         Mn_ff_coeff_46           
0.0003117128981680875     0                         0                         254.7881765898702         Mn_ff_coeff_47           
0.009164750924876244      0                         0                         254.7881765898702         Mn_ff_coeff_48           
0.06816463637852355       0                         0                         254.7881765898702         Mn_ff_coeff_49           
16.586998716411227        0                         0                         254.7881765898702         Mn_ff_coeff_50           
